Name;Question;Description;Default;Validity;Visibility;Constraint
Barrel;Will the Product Barrel will be used?;Barrel description;;;Barrel &  - Barrel;
Barrel1_1;Will the Product Barrel1_1 will be used?;Barrel1_1 description;;;Barrel1_1 &  - Barrel1_1;( - Barrel1_1 ~ Barrel1_1) & (Barrel1_1 ~ Barrel) & (Barrel1_1 ~ Pipe)
Barrel1_2;Will the Product Barrel1_2 will be used?;Barrel1_2 description;;;Barrel1_2 &  - Barrel1_2;(Barrel1_2 ~ Barrel) & (Barrel1_2 ~ Pipe)
Fork;Will the Product Fork will be used?;Fork description;;;Fork &  - Fork;
Fork3;Will the Product Fork3 will be used?;Fork3 description;;;Fork3 &  - Fork3;(Fork3 ~ Fork5) & ( - Fork3 ~ Fork3) & (Fork3 ~ Fork)
Fork4;Will the Product Fork4 will be used?;Fork4 description;;;Fork4 &  - Fork4;(Fork4 ~ Fork5) & (Fork4 ~ Fork) & ( - Fork4 ~ Fork4)
Fork5;Will the Product Fork5 will be used?;Fork5 description;;;Fork5 &  - Fork5;(Fork5 ~ Fork) & ( - Fork5 ~ Fork5)
InsertBarrel;Do you want to install InsertBarrel?;InsertBarrel description;;;InsertBarrel &  - InsertBarrel;
InsertBarrel1_1;Do you want to install InsertBarrel1_1?;InsertBarrel1_1 description;;;Barrel1_1 & Barrel1_1;(InsertBarrel1_1 ~ InsertBarrel)
InsertBarrel1_2;Do you want to install InsertBarrel1_2?;InsertBarrel1_2 description;;;Barrel1_2 & Barrel1_2;(InsertBarrel1_2 ~ InsertBarrel)
InsertFork3;Do you want to install InsertFork3?;InsertFork3 description;;;Fork3 & Pipe;
InsertFork4;Do you want to install InsertFork4?;InsertFork4 description;;;Fork4 & Fork4;
InsertFork5;Do you want to install InsertFork5?;InsertFork5 description;;;Fork5 & Fork5;
InsertJack1;Do you want to install InsertJack1?;InsertJack1 description;;;Jack1 & Jack1;
InsertLock;Do you want to install InsertLock?;InsertLock description;;;InsertLock &  - InsertLock;
InsertLock1;Do you want to install InsertLock1?;InsertLock1 description;;;Lock1 & Lock1 &  - InsertLock2 &  - InsertLock3;(InsertLock1 ~ InsertLock) & (InsertLock1 ~  - InsertLock3) & (InsertLock1 ~  - InsertLock2)
InsertLock2;Do you want to install InsertLock2?;InsertLock2 description;;;Lock2 & Lock2 &  - InsertLock1 &  - InsertLock3;(InsertLock2 ~ InsertLock) & (InsertLock2 ~  - InsertLock3) & (InsertLock2 ~  - InsertLock1)
InsertLock3;Do you want to install InsertLock3?;InsertLock3 description;;;Lock3 & Lock3 &  - InsertLock1 &  - InsertLock2;(InsertLock3 ~ InsertLock) & (InsertLock3 ~  - InsertLock2) & (InsertLock3 ~  - InsertLock1)
InsertORing;Do you want to install InsertORing?;InsertORing description;;;O_Ring;
InsertPipe;Do you want to install InsertPipe?;InsertPipe description;;;InsertPipe &  - InsertPipe;
InsertPipe2;Do you want to install InsertPipe2?;InsertPipe2 description;;;Pipe2 & Pipe2 &  - InsertPipe3 &  - InsertPipe8;(InsertPipe2 ~  - InsertPipe3) & (InsertPipe2 ~ InsertPipe) & (InsertPipe2 ~  - InsertPipe8)
InsertPipe3;Do you want to install InsertPipe3?;InsertPipe3 description;;;Pipe3 & Pipe3 &  - InsertPipe2 &  - InsertPipe8;(InsertPipe3 ~  - InsertPipe2) & (InsertPipe3 ~ InsertPipe) & (InsertPipe3 ~  - InsertPipe8)
InsertPipe8;Do you want to install InsertPipe8?;InsertPipe8 description;;;Pipe8 & Pipe8 &  - InsertPipe2 &  - InsertPipe3;(InsertPipe8 ~  - InsertPipe3) & (InsertPipe8 ~  - InsertPipe2) & (InsertPipe8 ~ InsertPipe)
InsertRing1;Do you want to install InsertRing1?;InsertRing1 description;;;Ring1;
InsertScrew;Do you want to install InsertScrew?;InsertScrew description;;;Screw & Screw;
Jack1;Will the Product Jack1 will be used?;Jack1 description;;;Jack1 &  - Jack1;( - Jack1 ~ Jack1) & (Jack1 ~ Pipe)
Lock;Will the Product Lock will be used?;Lock description;;;Lock &  - Lock;( - Lock ~ Lock) & (Lock ~ Pipe)
Lock1;Will the Product Lock1 will be used?;Lock1 description;;;Lock1 &  - Lock1;(Lock1 ~  - Lock2) & (Lock1 ~  - Lock3) & (Lock1 ~ Lock)
Lock2;Will the Product Lock2 will be used?;Lock2 description;;;Lock2 &  - Lock2;(Lock2 ~  - Lock3) & (Lock2 ~  - Lock1) & (Lock2 ~ Lock)
Lock3;Will the Product Lock3 will be used?;Lock3 description;;;Lock3 &  - Lock3;(Lock3 ~  - Lock1) & (Lock3 ~  - Lock2) & (Lock3 ~ Lock)
O_Ring;Will the Product O_Ring will be used?;O_Ring description;;;O_Ring &  - O_Ring;(O_Ring ~ Ring1) & (O_Ring ~ Jack1) & ( - O_Ring ~ O_Ring)
Pipe;Will the Product Pipe will be used?;Pipe description;;;Pipe &  - Pipe;( - Pipe ~ Pipe)
Pipe2;Will the Product Pipe2 will be used?;Pipe2 description;;;Pipe2 &  - Pipe2;(Pipe2 ~  - Pipe3) & (Pipe2 ~ Pipe) & (Pipe2 ~  - Pipe8)
Pipe3;Will the Product Pipe3 will be used?;Pipe3 description;;;Pipe3 &  - Pipe3;(Pipe3 ~ Pipe) & (Pipe3 ~  - Pipe2) & (Pipe3 ~  - Pipe8)
Pipe8;Will the Product Pipe8 will be used?;Pipe8 description;;;Pipe8 &  - Pipe8;(Pipe8 ~  - Pipe3) & (Pipe8 ~ Pipe) & (Pipe8 ~  - Pipe2)
PressBarrel;Do you want to install PressBarrel?;PressBarrel description;;;PressBarrel &  - PressBarrel;
PressBarrel1_1;Do you want to install PressBarrel1_1?;PressBarrel1_1 description;;;Barrel1_1 & InsertBarrel1_1;(PressBarrel1_1 ~ PressBarrel)
PressBarrel1_2;Do you want to install PressBarrel1_2?;PressBarrel1_2 description;;;Barrel1_2 & InsertBarrel1_2;(PressBarrel1_2 ~ PressBarrel)
PressJack1;Do you want to install PressJack1?;PressJack1 description;;;Jack1 & Pipe & InsertJack1 & InsertPipe;
PressORing;Do you want to install PressORing?;PressORing description;;;O_Ring & Pipe & Jack1 & Ring1 & InsertORing & PressJack1 & PressRing1 & InsertPipe;
PressRing1;Do you want to install PressRing1?;PressRing1 description;;;Ring1 & Jack1 & Pipe & InsertRing1 & PressJack1 & InsertPipe;
Ring1;Will the Product Ring1 will be used?;Ring1 description;;;Ring1 &  - Ring1;( - Ring1 ~ Ring1) & (Ring1 ~ Pipe)
